x,Ch1_1,is_cusum_turning,is_steep_endpoint
18135.0,1483.0,0,1
18175.0,1471.0,1,1
18180.0,1870.0,0,1
18240.0,1959.0,1,0
18292.0,2249.0,1,0
18297.0,2190.0,1,0
18299.0,2130.0,0,1
18308.0,1449.0,0,1
18349.0,1459.0,0,1
18354.0,1872.0,1,1
18424.0,1686.0,1,0
18466.0,2218.0,1,0
18471.0,2075.0,1,0
18474.0,2139.0,0,1
18482.0,1453.0,0,1
18523.0,1447.0,0,1
18528.0,1914.0,1,1
18598.0,1668.0,1,0
18640.0,2225.0,1,0
18645.0,2205.0,1,0
18647.0,2188.0,0,1
18655.0,1445.0,0,1
18697.0,1440.0,0,1
18702.0,1898.0,1,1
18762.0,1982.0,1,0
18814.0,2160.0,1,0
18819.0,2346.0,1,0
18821.0,2213.0,0,1
18829.0,1462.0,0,1
18871.0,1442.0,0,1
18876.0,1945.0,1,1
18941.0,1844.0,1,0
18981.0,1808.0,0,1
18988.0,2247.0,1,0
18990.0,3575.0,0,1
18993.0,2333.0,1,0
18995.0,2189.0,0,1
19002.0,1456.0,0,1
19045.0,1444.0,0,1
19050.0,1868.0,1,0
19051.0,1913.0,0,1
19115.0,2068.0,0,1
19119.0,1647.0,1,0
19121.0,1692.0,0,1
19156.0,1931.0,0,1
19162.0,2273.0,1,0
19164.0,3611.0,0,1
19167.0,2351.0,1,0
19168.0,2314.0,0,1
19175.0,1446.0,0,1
19219.0,1473.0,1,1
19224.0,1945.0,0,1
19289.0,2065.0,0,1
19293.0,1623.0,1,0
19295.0,1699.0,0,1
19329.0,1815.0,0,1
19335.0,2261.0,1,1
19340.0,2002.0,1,0
19342.0,2317.0,0,1
19348.0,1434.0,0,1
19393.0,1459.0,1,1
19398.0,1966.0,0,1
19463.0,2133.0,0,1
19467.0,1770.0,1,0
19468.0,1716.0,0,1
19503.0,2001.0,0,1
19509.0,2351.0,1,0
19511.0,3079.0,0,1
19514.0,2187.0,1,0
19516.0,2272.0,0,1
19521.0,1466.0,0,1
19567.0,1458.0,1,1
19572.0,1961.0,0,1
19630.0,2180.0,0,1
19638.0,2586.0,1,0
19641.0,2725.0,0,1
19642.0,2557.0,1,1
19647.0,2192.0,0,1
19674.0,2471.0,0,1
19680.0,3000.0,0,1
19683.0,2935.0,1,1
19689.0,2702.0,0,1
19690.0,2435.0,0,1
19694.0,1462.0,0,1
19742.0,1452.0,0,1
19746.0,2454.0,0,1
19747.0,2388.0,1,0
19803.0,2667.0,0,1
19812.0,3614.0,1,1
19814.0,3851.0,0,1
19822.0,2416.0,0,1
19848.0,2826.0,1,1
19853.0,3535.0,0,1
19857.0,3402.0,1,1
19863.0,2854.0,0,1
19864.0,2526.0,0,1
19868.0,1471.0,0,1
19918.0,1451.0,1,1
19922.0,2634.0,0,1
19976.0,3060.0,0,1
19985.0,4498.0,1,0
19987.0,4479.0,0,1
19988.0,5309.0,0,1
19990.0,4102.0,1,0
19996.0,2789.0,1,0
19999.0,2893.0,0,1
20022.0,3508.0,1,1
20027.0,4589.0,0,1
20031.0,4123.0,1,1
20037.0,2989.0,0,1
20038.0,2668.0,0,1
20042.0,1459.0,0,1
20091.0,1435.0,1,1
20095.0,3356.0,0,1
20114.0,3314.0,1,0
20140.0,3779.0,1,0
20148.0,3842.0,0,1
20159.0,5737.0,1,0
20161.0,5734.0,1,1
20162.0,6806.0,0,1
20164.0,5213.0,1,0
20168.0,3400.0,1,0
20174.0,3289.0,0,1
20182.0,3696.0,1,0
20196.0,4162.0,1,1
20200.0,5072.0,1,0
20201.0,5437.0,0,1
20205.0,4735.0,1,1
20210.0,2804.0,1,0
20217.0,1466.0,0,1
20264.0,1455.0,1,1
20269.0,3701.0,0,1
20273.0,3436.0,1,0
20288.0,3726.0,1,0
20320.0,4282.0,1,0
20322.0,4324.0,0,1
20333.0,6592.0,1,0
20335.0,6767.0,1,1
20336.0,7977.0,0,1
20338.0,6234.0,1,0
20342.0,3899.0,1,0
20349.0,3731.0,0,1
20352.0,3832.0,0,1
20366.0,4364.0,1,0
20370.0,4498.0,1,0
20375.0,5865.0,0,1
20379.0,5139.0,1,1
20384.0,2846.0,1,0
20386.0,3200.0,0,1
20387.0,2913.0,0,1
20392.0,1464.0,0,1
20438.0,1433.0,0,1
20443.0,3976.0,1,1
20445.0,3671.0,1,0
20462.0,4056.0,1,0
20472.0,4364.0,1,0
20496.0,4695.0,0,1
20507.0,6887.0,1,0
20509.0,7020.0,0,1
20511.0,8057.0,0,1
20512.0,6913.0,1,0
20515.0,4494.0,1,0
20521.0,3824.0,0,1
20522.0,3869.0,1,0
20523.0,3871.0,0,1
20540.0,4672.0,0,1
20543.0,4608.0,1,0
20544.0,4569.0,0,1
20549.0,6483.0,0,1
20553.0,5319.0,1,1
20558.0,2868.0,1,0
20560.0,3161.0,0,1
20561.0,3123.0,0,1
20568.0,1470.0,0,1
20613.0,1472.0,0,1
20617.0,4173.0,0,1
20618.0,3949.0,1,0
20630.0,4079.0,1,0
20649.0,4665.0,1,0
20670.0,4910.0,0,1
20681.0,7366.0,1,0
20684.0,8989.0,0,1
20685.0,8699.0,0,1
20686.0,7469.0,1,0
20690.0,4386.0,1,0
20693.0,4028.0,1,0
20699.0,4107.0,0,1
20700.0,4207.0,0,1
20713.0,4775.0,0,1
20717.0,4872.0,0,1
20718.0,4745.0,1,0
20723.0,6717.0,0,1
20727.0,5489.0,1,1
20732.0,2956.0,1,0
20734.0,3327.0,0,1
20735.0,3170.0,0,1
20743.0,1425.0,0,1
20786.0,1457.0,0,1
20791.0,4174.0,1,1
20806.0,4267.0,1,0
20818.0,4711.0,1,0
20844.0,5049.0,0,1
20855.0,7401.0,1,0
20858.0,9411.0,1,1
20859.0,8903.0,0,1
20860.0,7704.0,1,0
20864.0,4549.0,1,0
20867.0,4089.0,1,0
20868.0,4119.0,0,1
20874.0,4268.0,0,1
20879.0,4627.0,0,1
20892.0,4930.0,1,1
20897.0,7062.0,1,1
20901.0,5682.0,1,1
20906.0,2993.0,1,0
20908.0,3430.0,0,1
20909.0,3221.0,1,1
20919.0,1447.0,0,1
20960.0,1462.0,1,1
20965.0,4189.0,1,1
20976.0,4216.0,1,0
20977.0,4255.0,0,1
20981.0,4456.0,1,0
21005.0,5194.0,0,1
21009.0,5124.0,1,0
21018.0,5149.0,0,1
21029.0,7710.0,1,0
21032.0,9673.0,0,1
21033.0,9342.0,0,1
21034.0,8036.0,1,0
21037.0,5123.0,1,0
21041.0,4267.0,1,0
21043.0,4084.0,0,1
21045.0,4226.0,1,0
21051.0,4512.0,0,1
21064.0,5076.0,0,1
21066.0,5024.0,1,0
21067.0,4709.0,0,1
21071.0,7375.0,0,1
21075.0,5844.0,1,1
