event_id,direction,start_idx,end_idx,start_x,end_x,start_y,end_y,duration,delta_y,max_abs_slope
1491,down,50668,50682,50669.0,50683.0,42691.0,24476.0,14,-18215.0,3400.8
1492,up,50682,50688,50683.0,50689.0,24476.0,42913.0,6,18437.0,5610.2
1493,down,50688,50700,50689.0,50701.0,42913.0,24652.0,12,-18261.0,3830.9999999999973
1494,up,50701,50708,50702.0,50709.0,24882.0,42786.0,7,17904.0,5577.399999999997
1495,down,50708,50720,50709.0,50721.0,42786.0,24885.0,12,-17901.0,3190.2000000000016
1496,up,50721,50728,50722.0,50729.0,24814.0,42988.0,7,18174.0,5555.000000000003
1497,down,50728,50742,50729.0,50743.0,42988.0,24696.0,14,-18292.0,3444.8
1498,up,50742,50748,50743.0,50749.0,24696.0,42735.0,6,18039.0,5566.2
1499,down,50748,50760,50749.0,50761.0,42735.0,24813.0,12,-17922.0,3837.599999999996
1500,up,50761,50768,50762.0,50769.0,24706.0,43229.0,7,18523.0,5674.400000000004
1501,down,50768,50780,50769.0,50781.0,43229.0,24883.0,12,-18346.0,4016.3999999999987
1502,up,50781,50788,50782.0,50789.0,24700.0,42817.0,7,18117.0,5582.599999999994
1503,down,50788,50800,50789.0,50801.0,42817.0,24931.0,12,-17886.0,3343.600000000003
1504,up,50801,50808,50802.0,50809.0,24721.0,42693.0,7,17972.0,5582.200000000007
1505,down,50808,50820,50809.0,50821.0,42693.0,24697.0,12,-17996.0,3896.3999999999987
1506,up,50823,50830,50824.0,50831.0,24965.0,42906.0,7,17941.0,5593.999999999995
1507,down,50830,50842,50831.0,50843.0,42906.0,25001.0,12,-17905.0,3313.600000000003
1508,up,50843,50850,50844.0,50851.0,25013.0,42926.0,7,17913.0,5537.199999999996
1509,down,50850,50862,50851.0,50863.0,42926.0,24742.0,12,-18184.0,3648.9999999999973
1510,up,50863,50870,50864.0,50871.0,24944.0,43329.0,7,18385.0,5599.600000000009
1511,down,50870,50884,50871.0,50885.0,43329.0,24639.0,14,-18690.0,3251.8
1512,up,50884,50890,50885.0,50891.0,24639.0,42996.0,6,18357.0,5607.600000000005
1513,down,50890,50902,50891.0,50903.0,42996.0,24825.0,12,-18171.0,3231.000000000001
1514,up,50903,50910,50904.0,50911.0,24804.0,43217.0,7,18413.0,5649.600000000001
1515,down,50910,50922,50911.0,50923.0,43217.0,24741.0,12,-18476.0,3549.8
1516,up,50923,50930,50924.0,50931.0,24965.0,43551.0,7,18586.0,5681.799999999998
1517,down,50930,50942,50931.0,50943.0,43551.0,25084.0,12,-18467.0,3474.8
1518,up,50943,50950,50944.0,50951.0,24789.0,43352.0,7,18563.0,5625.599999999994
1519,down,50950,50962,50951.0,50963.0,43352.0,24888.0,12,-18464.0,3361.199999999998
